document,topic,score
2478,0,0.2853887
6746,0,0.2731409
13604,0,0.2630271
917,0,0.25971305
7270,0,0.25266245
6218,0,0.24591511
10587,0,0.23692822
14404,0,0.2348316
18718,0,0.23343797
13066,0,0.21603523
11498,0,0.21600573
5305,0,0.21508625
6354,0,0.21166055
15712,0,0.21030818
1574,0,0.20793559
5542,0,0.20038572
5969,0,0.20009722
14146,0,0.19853833
14701,0,0.1948156
13439,0,0.19218275
3148,0,0.19164424
4142,0,0.19113435
6419,0,0.18556191
10799,0,0.18535691
937,0,0.18417786
11625,0,0.182575
9345,0,0.18251026
16376,0,0.18188997
11696,0,0.18060963
11694,0,0.1788511
10891,0,0.17869893
12453,0,0.17787017
6380,0,0.17738101
12795,0,0.17712314
18292,0,0.1762392
1734,0,0.17622584
16937,0,0.17564839
16078,0,0.17523386
6624,0,0.17439805
6960,0,0.17409855
2584,0,0.17348056
13335,0,0.17300478
9637,0,0.17295562
1112,0,0.17242353
16545,0,0.17234345
4905,0,0.17128274
12162,0,0.17005123
8189,0,0.16970575
15010,0,0.16796349
7469,0,0.16789158
12074,0,0.16786359
477,0,0.16744073
7256,0,0.16739039
3137,0,0.16692361
10283,0,0.16665323
5498,0,0.16656941
13946,0,0.16571645
5872,0,0.16404092
16748,0,0.16393708
8764,0,0.16373728
16267,0,0.16359201
303,0,0.16341598
13665,0,0.16234446
6194,0,0.16123678
10079,0,0.1609772
6561,0,0.16061969
14567,0,0.15968874
12179,0,0.15952215
7485,0,0.15945654
9709,0,0.15889198
17341,0,0.15875202
10052,0,0.15865828
6256,0,0.15827249
10209,0,0.15784453
18476,0,0.1575883
10560,0,0.15718882
17577,0,0.15704449
2560,0,0.15651582
938,0,0.15645176
15587,0,0.15631706
8769,0,0.15598951
6293,0,0.15499653
1229,0,0.15498722
10831,0,0.15471369
12143,0,0.15443797
3724,0,0.15403827
7593,0,0.15387411
16957,0,0.1532726
11791,0,0.15320778
5941,0,0.15313998
16498,0,0.15274118
3968,0,0.15270269
13936,0,0.15259378
8145,0,0.15219097
12396,0,0.15187916
11316,0,0.15134566
10266,0,0.15099259
16548,0,0.15064292
4327,0,0.15040201
13729,0,0.15003818
17107,0,0.14964953
10673,0,0.14964819
10604,0,0.14942198
2728,0,0.14939097
17626,0,0.14918879
3015,0,0.14902653
1145,0,0.1490258
13923,0,0.14896664
5984,0,0.14872737
5054,0,0.14850995
3736,0,0.14678061
16656,0,0.1462837
2992,0,0.1461857
6083,0,0.14608786
4979,0,0.14605162
9487,0,0.14562301
2967,0,0.14561349
7343,0,0.14521803
7626,0,0.14504905
18080,0,0.14478777
8872,0,0.14477973
16819,0,0.1446866
868,0,0.14450146
6846,0,0.14428182
7009,0,0.1440118
10252,0,0.1438146
3535,0,0.14367753
311,0,0.14353202
3606,0,0.14348319
10947,0,0.14343044
6378,0,0.14334275
17855,0,0.14313737
8292,0,0.1429718
880,0,0.142905
4837,0,0.14263783
3471,0,0.14194196
12545,0,0.14189768
13968,0,0.14162311
4399,0,0.14085317
4407,0,0.14069597
715,0,0.1403671
12003,0,0.14009441
7806,0,0.13992725
13170,0,0.13919193
16761,0,0.13919061
18177,0,0.13915035
406,0,0.13904221
17647,0,0.13876602
11927,0,0.13845813
1105,0,0.13829738
7514,0,0.1382163
7333,0,0.13800786
1022,0,0.13793497
4183,0,0.13771817
7696,0,0.13752939
12548,0,0.13744122
16105,0,0.1373453
14921,0,0.13705783
3004,0,0.1368727
56,0,0.13675529
6024,0,0.13673002
14953,0,0.13652614
13229,0,0.13648373
18735,0,0.13639423
8106,0,0.13637546
12054,0,0.13634475
18780,0,0.13614336
1322,0,0.13606772
13852,0,0.13597809
8927,0,0.1358364
11448,0,0.13576695
17864,0,0.13553992
16013,0,0.13525414
6545,0,0.1352473
6899,0,0.13509287
8045,0,0.13507023
17565,0,0.13443114
7703,0,0.13419993
10074,0,0.13365
3938,0,0.1335741
8033,0,0.1334878
2069,0,0.13347742
14325,0,0.13325536
5234,0,0.13323705
454,0,0.13271709
1773,0,0.1326552
16401,0,0.13263431
7845,0,0.13257377
3363,0,0.13246307
11951,0,0.13216506
2646,0,0.1318607
15211,0,0.13156459
2679,0,0.13104
7827,0,0.13098095
2366,0,0.13082597
17023,0,0.13065165
16218,0,0.13025692
15868,0,0.13010487
9252,0,0.13005221
13967,0,0.12988682
11823,0,0.12986019
12226,0,0.12959632
15467,0,0.12953925
7168,0,0.129492
291,0,0.12913774
6244,0,0.12889901
18152,0,0.12846239
3706,0,0.12820677
11582,0,0.12797874
12562,0,0.12775706
9857,0,0.1275125
3044,0,0.12744047
8304,0,0.12740903
10514,0,0.12719122
11330,0,0.1269463
15672,0,0.1268938
14042,0,0.12662256
2171,0,0.1265992
17919,0,0.12611268
7482,0,0.12588958
11251,0,0.12584858
8863,0,0.12574314
12465,0,0.12561718
3201,0,0.1256087
17330,0,0.12557866
4416,0,0.12557797
13414,0,0.1252613
12310,0,0.12525864
12973,0,0.12516204
15512,0,0.1248263
1426,0,0.12473997
3688,0,0.12471561
13663,0,0.12471543
4465,0,0.12444528
4553,0,0.124347895
10832,0,0.12414758
6310,0,0.12388279
12144,0,0.12384897
16696,0,0.12362468
4257,0,0.12341839
14502,0,0.123368084
15755,0,0.123179436
13562,0,0.12311539
5728,0,0.123047404
14357,0,0.122682415
7752,0,0.12240983
2412,0,0.12233377
6053,0,0.12196972
18523,0,0.1216303
5968,0,0.12162225
10085,0,0.12160611
481,0,0.12143016
3720,0,0.12138186
12085,0,0.12120072
7905,0,0.120986596
5431,0,0.12072198
3392,0,0.12055228
5754,0,0.12050295
11116,0,0.12033716
160,0,0.120027505
3109,0,0.11933622
2547,0,0.11925284
7664,0,0.11913687
13833,0,0.11867542
14114,0,0.11821735
14721,0,0.118118204
346,0,0.117424585
11038,0,0.11725149
14264,0,0.116630554
8725,0,0.116498284
12345,0,0.11627134
6035,0,0.11626947
6454,0,0.11617457
6906,0,0.11605201
16159,0,0.115870744
15739,0,0.11545399
13180,0,0.115409195
10632,0,0.115343355
13467,0,0.115151204
5500,0,0.11513384
8629,0,0.11507564
7783,0,0.114947885
7103,0,0.114930145
6426,0,0.114774
15480,0,0.11475854
10506,0,0.11465764
271,0,0.114592865
18672,0,0.11458201
6967,0,0.11455116
16760,0,0.11345434
17012,0,0.11292735
812,0,0.112895325
9960,0,0.11250225
1398,0,0.11198244
6348,0,0.11190203
4597,0,0.111754395
15860,0,0.11134421
5522,0,0.11125793
2375,0,0.111073904
15119,0,0.11043601
17976,0,0.11017956
7426,0,0.110076785
775,0,0.11006864
5583,0,0.10998416
2640,0,0.10996322
15273,0,0.10944326
9421,0,0.10943946
9310,0,0.10940698
7167,0,0.10925326
14866,0,0.10897911
17648,0,0.1086965
5036,0,0.10866867
7508,0,0.108289085
4995,0,0.10826218
11181,0,0.10825706
15171,0,0.107876964
14025,0,0.10771447
17368,0,0.107012175
1151,0,0.1069344
2608,0,0.106762536
17419,0,0.106759824
4831,0,0.10674189
884,0,0.106724426
15286,0,0.10646724
11701,0,0.10639994
10036,0,0.10636163
10822,0,0.10617034
13075,0,0.10603816
13911,0,0.10553274
11860,0,0.10490624
14912,0,0.104671225
13054,0,0.10463106
4000,0,0.10450289
18520,0,0.10419672
345,0,0.103980474
6240,0,0.10356314
4486,0,0.103104554
114,0,0.10283709
700,0,0.102810144
16114,0,0.10259373
12185,0,0.102534436
1459,0,0.101392835
17317,0,0.10136407
817,0,0.101241834
3707,0,0.10115718
3035,0,0.101043575
10320,0,0.10090295
15939,0,0.10065575
7996,0,0.10025332
12306,0,0.099612355
3798,0,0.09930899
4864,0,0.09916459
3715,0,0.09870219
6898,0,0.09859933
5604,0,0.097886965
2071,0,0.097366646
16866,0,0.0966331
5118,0,0.09553596
13959,0,0.0952453
6286,0,0.094664976
15978,0,0.09428158
538,0,0.09407032
17287,0,0.09382987
5970,0,0.0933591
3084,0,0.093351126
1070,0,0.0924526
6803,0,0.092051245
8090,0,0.08950075
7896,0,0.08944005
13487,0,0.08816322
6398,0,0.08782984
1526,0,0.08753518
873,0,0.086954094
11017,0,0.08622693
13007,0,0.085780285
6693,0,0.08433299
12488,0,0.081689484
13500,0,0.07954787
1884,0,0.07917156
12842,0,0.07303628
8310,0,0.06886913
2622,1,0.37901887
10490,1,0.37607178
6099,1,0.32509118
10662,1,0.31542796
10195,1,0.30160952
476,1,0.2951584
12780,1,0.29460284
16686,1,0.28177264
16802,1,0.2801833
12582,1,0.26534766
18696,1,0.23571205
7446,1,0.23243281
8752,1,0.22574642
1290,1,0.21795215
15482,1,0.20869178
4205,1,0.19538105
16799,1,0.19527575
7656,1,0.1916902
11829,1,0.19089513
9023,1,0.19046684
8715,1,0.18937975
4265,1,0.18935841
5623,1,0.18666615
460,1,0.18608698
5280,1,0.18606117
17690,1,0.18468758
14280,1,0.18253085
10825,1,0.18240988
11920,1,0.18202378
309,1,0.18010053
16239,1,0.17985198
6674,1,0.17966375
318,1,0.17833383
16542,1,0.17766717
2635,1,0.17672473
9737,1,0.17503946
2103,1,0.17327236
17432,1,0.17277043
9188,1,0.17201723
10966,1,0.17085345
18502,1,0.1689781
4406,1,0.16884102
11667,1,0.16815439
1682,1,0.16696937
8333,1,0.1664495
9981,1,0.16633523
12518,1,0.16604489
5519,1,0.16572875
4754,1,0.16556424
5122,1,0.16522376
2472,1,0.16500147
12696,1,0.16482551
2826,1,0.16384652
7405,1,0.16361272
44,1,0.163522
18249,1,0.16347222
6439,1,0.16302058
7000,1,0.16298538
11909,1,0.16234069
10850,1,0.1623148
7583,1,0.16192326
2499,1,0.1615468
4685,1,0.16150919
13410,1,0.16122384
907,1,0.16102171
12029,1,0.16098216
11837,1,0.16082121
6573,1,0.16061482
18087,1,0.16010183
641,1,0.15991014
10231,1,0.15985247
6121,1,0.1593895
8866,1,0.15936504
12543,1,0.15902469
11817,1,0.15898435
17296,1,0.15873967
6409,1,0.15837546
7871,1,0.15812294
7093,1,0.15804821
6791,1,0.15790398
9831,1,0.15775377
9625,1,0.15733202
12908,1,0.1562173
3327,1,0.15605775
10627,1,0.15578835
12090,1,0.15576103
14780,1,0.15554824
17840,1,0.15469214
1867,1,0.15445043
10219,1,0.15444806
9769,1,0.15371117
3439,1,0.15368654
9914,1,0.15345739
17525,1,0.1532934
9426,1,0.1521383
17457,1,0.15202248
14435,1,0.15195933
7975,1,0.15181315
13070,1,0.15139489
7718,1,0.15138319
13088,1,0.15110621
9516,1,0.15026005
15693,1,0.15013914
15817,1,0.14952998
11092,1,0.14842725
4798,1,0.14810897
4390,1,0.14792715
3018,1,0.14767303
12569,1,0.147408
17762,1,0.14735493
9043,1,0.14685681
17379,1,0.14666672
13262,1,0.14637321
17082,1,0.14598116
1373,1,0.14580038
11763,1,0.14575145
13853,1,0.14561933
14598,1,0.145555
10351,1,0.1455179
11675,1,0.14549576
3067,1,0.14513592
4371,1,0.1445714
14295,1,0.14441636
17377,1,0.14426896
10089,1,0.14424403
3520,1,0.14417708
5491,1,0.14402571
14942,1,0.14385913
6034,1,0.14372101
803,1,0.1435161
9713,1,0.14338061
5126,1,0.1428058
7750,1,0.14257331
4424,1,0.14233384
8810,1,0.14200826
2506,1,0.14118503
10674,1,0.14114797
11672,1,0.14109296
4254,1,0.14108318
4731,1,0.140429
16306,1,0.13938923
7612,1,0.1393223
8883,1,0.1388593
8496,1,0.13854854
3360,1,0.13843916
1592,1,0.13774703
15097,1,0.13731055
13710,1,0.13729002
8273,1,0.13673466
2626,1,0.13662381
13350,1,0.13660386
12343,1,0.13623635
5216,1,0.13590449
6638,1,0.13584076
12041,1,0.1357937
10061,1,0.13578716
15888,1,0.13574782
5932,1,0.13570397
10328,1,0.13554063
10310,1,0.13527884
4963,1,0.13522625
4756,1,0.13501073
17712,1,0.13494271
7187,1,0.13492984
8990,1,0.1348809
12485,1,0.13449813
12281,1,0.13448443
17909,1,0.13444135
3945,1,0.13438793
10648,1,0.13409556
8349,1,0.13394424
11845,1,0.13378796
10898,1,0.1335597
1272,1,0.13346083
11029,1,0.13333772
12379,1,0.13313821
8527,1,0.13282117
2576,1,0.13264266
13922,1,0.13205549
1071,1,0.1319356
18655,1,0.13146651
763,1,0.13086651
8946,1,0.1308065
15204,1,0.13077587
3600,1,0.13074698
7874,1,0.13068736
6415,1,0.1306575
6492,1,0.1305229
12107,1,0.1300061
14568,1,0.12999886
8943,1,0.1297287
16643,1,0.12946492
18479,1,0.12888405
11347,1,0.12882061
11663,1,0.12878545
15476,1,0.12864093
8246,1,0.12834793
17083,1,0.12823701
17852,1,0.12822512
11412,1,0.12795585
1306,1,0.12786216
18280,1,0.12769578
9079,1,0.12758957
3705,1,0.127553
14651,1,0.12751079
12223,1,0.12720887
8669,1,0.12659322
8547,1,0.12636138
11980,1,0.1262894
1967,1,0.12572631
11664,1,0.12530623
1035,1,0.12528284
12871,1,0.12517078
1963,1,0.12513788
5015,1,0.1251255
5585,1,0.12506321
4859,1,0.12497158
16566,1,0.12485521
1836,1,0.12469337
7967,1,0.12444896
5130,1,0.12429474
769,1,0.1242928
12121,1,0.12416062
16233,1,0.12401098
2801,1,0.12369307
9403,1,0.1235903
1389,1,0.122970976
15853,1,0.122900456
3470,1,0.12275455
14843,1,0.12268352
17382,1,0.122405306
13005,1,0.121981695
13120,1,0.121412404
18779,1,0.12139564
7248,1,0.1213362
12156,1,0.12114468
6205,1,0.121083796
13366,1,0.12106474
14967,1,0.12097062
14370,1,0.12083368
10583,1,0.12054318
14423,1,0.12053845
18676,1,0.120401606
8035,1,0.12030857
5163,1,0.120302685
6603,1,0.12014511
15390,1,0.12006895
7115,1,0.11984336
13641,1,0.11950352
3267,1,0.119381845
3727,1,0.119115695
8996,1,0.11910321
15053,1,0.11904673
17262,1,0.119016424
5408,1,0.11900292
1427,1,0.118702
18427,1,0.11857934
16897,1,0.118468404
16930,1,0.11832594
3384,1,0.118282065
18540,1,0.118263125
